"id","province_code","province_name"
"1501","100000","公司总部"
"1502","110000","北京市"
"1503","120000","天津市"
"1504","130000","河北省"
"1505","140000","山西省"
"1506","150000","内蒙古自治区"
"1507","210000","辽宁省"
"1508","220000","吉林省"
"1509","230000","黑龙江省"
"1510","310000","上海市"
"1511","320000","江苏省"
"1512","330000","浙江省"
"1513","340000","安徽省"
"1514","350000","福建省"
"1515","360000","江西省"
"1516","370000","山东省"
"1517","410000","河南省"
"1518","420000","湖北省"
"1519","430000","湖南省"
"1520","440000","广东省"
"1521","450000","广西壮族自治区"
"1522","460000","海南省"
"1523","500000","重庆市"
"1524","510000","四川省"
"1525","520000","贵州省"
"1526","530000","云南省"
"1527","540000","西藏自治区"
"1528","610000","陕西省"
"1529","620000","甘肃省"
"1530","630000","青海省"
"1531","640000","宁夏回族自治区"
"1532","650000","新疆维吾尔自治区"
"1533","710000","台湾省"
"1534","810000","香港特别行政区"
"1535","820000","澳门特别行政区"
